sep=;
Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;3300,7;0;317,3828;0;3300,7;0
1;3300,692;0;379,0068;0;3300,7;0
2;3308,915;0;418,6474;0;3308,915;0
3;3322,041;0;702,1903;0;3322,041;0
4;3336,137;0;889,7178;0;3336,137;0
5;3844,657;0;1571,307;0;3844,657;0
6;3844,671;0;2094,189;0;3844,671;0
7;3861,451;0;2730,118;0;3861,451;0
8;3861,484;0;2774,9;0;3861,484;0
9;3842,903;0;2706,989;0;3861,484;0
10;3855,285;0;3268,44;0;3861,484;0
11;3854,46;0;3231,841;0;3861,484;0
12;3861,483;0;3009,464;0;3861,484;0
13;3849,448;0;3022,995;0;3861,484;0
14;3856,151;0;3233,23;0;3861,484;0
15;3879,13;0;3167,805;0;3879,13;0
16;3879,111;0;3190,001;0;3879,13;0
17;3855,555;0;3431,368;0;3879,13;0
18;3854,758;0;3379,491;0;3879,13;0
19;3854,758;0;3416,892;0;3879,13;0
20;3879,111;0;3387,16;0;3879,13;0
21;3879,817;0;3365,458;0;3879,817;0
22;3879,846;0;3222,189;0;3879,846;0
23;3908,735;0;3160,933;0;3908,735;0
24;3879,559;0;3097,673;0;3908,735;0
25;3884,158;0;3289,921;0;3908,735;0
26;3883,069;0;3240,99;0;3908,735;0
27;3902,341;0;3349,437;0;3908,735;0
28;3907,58;0;3359,185;0;3908,735;0
29;3888,825;0;3141,956;0;3908,735;0
30;3893,821;0;3250,978;0;3908,735;0
31;3883,264;0;3304,849;0;3908,735;0
32;3897,875;0;3362,118;0;3908,735;0
33;3883,069;0;3259,06;0;3908,735;0
34;3900,626;0;3350,957;0;3908,735;0
35;3895,137;0;3219,535;0;3908,735;0
36;3924,296;0;3019,707;0;3924,296;0
37;3924,378;0;3041,482;0;3924,378;0
38;3924,378;0;3304,129;0;3924,378;0
39;3924,378;0;3354,265;0;3924,378;0
40;3924,29;0;3222,832;0;3924,378;0
41;3924,379;0;3311,258;0;3924,379;0
42;3928,054;0;3151,538;0;3928,054;0
43;3928,049;0;3194,405;0;3928,054;0
44;3914,789;0;3125,014;0;3928,054;0
45;3928,049;0;3229,888;0;3928,054;0
46;3928,049;0;3443,621;0;3928,054;0
47;3929,167;0;2813,575;0;3929,167;0
48;3929,167;0;3140,615;0;3929,167;0
49;3928,049;0;2879,062;0;3929,167;0
50;3908,185;0;3073,806;0;3929,167;0
51;3929,786;0;2977,869;0;3929,786;0
52;3929,167;0;3254,057;0;3929,786;0
53;3928,049;0;3290,154;0;3929,786;0
54;3928,049;0;3384,539;0;3929,786;0
55;3929,157;0;3132,973;0;3929,786;0
56;3929,167;0;3300,496;0;3929,786;0
57;3940,538;0;3148,018;0;3940,538;0
58;3940,536;0;2896,533;0;3940,538;0
59;3940,536;0;3239,898;0;3940,538;0
60;3938,776;0;2900,41;0;3940,538;0
61;3940,681;0;3275,339;0;3940,681;0
62;3940,537;0;3284,584;0;3940,681;0
63;3940,742;0;3253,048;0;3940,742;0
64;3938,776;0;2923,42;0;3940,742;0
65;3940,545;0;2755,59;0;3940,742;0
66;3964,28;0;2807,323;0;3964,28;0
67;3962,548;0;3026,206;0;3964,28;0
68;3969,407;0;3000,309;0;3969,407;0
69;3969,763;0;2935,744;0;3969,763;0
70;3969,764;0;3003,757;0;3969,764;0
71;3969,402;0;2750,685;0;3969,764;0
72;3969,402;0;3180,569;0;3969,764;0
73;3969,763;0;3008,547;0;3969,764;0
74;3970,989;0;3069,291;0;3970,989;0
75;3969,763;0;3159,524;0;3970,989;0
76;3969,402;0;3067,071;0;3970,989;0
77;3969,763;0;3211,874;0;3970,989;0
78;3969,763;0;2997,469;0;3970,989;0
79;3969,763;0;3298,061;0;3970,989;0
80;3969,402;0;3119,955;0;3970,989;0
81;3969,763;0;3071,509;0;3970,989;0
82;3969,763;0;3202,608;0;3970,989;0
83;3969,763;0;3326,569;0;3970,989;0
84;3969,402;0;3178,953;0;3970,989;0
85;3969,763;0;2983,361;0;3970,989;0
86;3974,022;0;3326,018;0;3974,022;0
87;3971,22;0;3162,387;0;3974,022;0
88;3971,737;0;3112,847;0;3974,022;0
89;3971,232;0;3068,04;0;3974,022;0
90;3971,736;0;3250,52;0;3974,022;0
91;3971,737;0;3121,358;0;3974,022;0
92;3971,737;0;3141,788;0;3974,022;0
93;3971,741;0;3383,02;0;3974,022;0
94;3971,736;0;3264,753;0;3974,022;0
95;3971,735;0;3353,051;0;3974,022;0
96;3971,737;0;3188,388;0;3974,022;0
97;3971,669;0;2986,464;0;3974,022;0
98;3971,736;0;3140,122;0;3974,022;0
99;3971,735;0;3214,827;0;3974,022;0
100;3971,737;0;3046,23;0;3974,022;0
101;3971,736;0;2920,637;0;3974,022;0
102;3971,736;0;2895,863;0;3974,022;0
103;3971,736;0;2832,365;0;3974,022;0
104;3971,737;0;2988,656;0;3974,022;0
105;3971,237;0;3057,373;0;3974,022;0
106;3971,113;0;3128,902;0;3974,022;0
107;3940,668;0;2682,128;0;3974,022;0
108;3971,737;0;2801,921;0;3974,022;0
109;3971,736;0;2695,41;0;3974,022;0
110;3971,736;0;3107,769;0;3974,022;0
111;3971,737;0;3074,005;0;3974,022;0
112;3971,704;0;3027,471;0;3974,022;0
113;3971,736;0;3205,042;0;3974,022;0
114;3973,673;0;3044,638;0;3974,022;0
115;3971,792;0;3144,26;0;3974,022;0
116;3971,737;0;3025,293;0;3974,022;0
117;3971,735;0;2979,474;0;3974,022;0
118;3979,27;0;3011,987;0;3979,27;0
119;3978,328;0;2889,25;0;3979,27;0
120;3978,328;0;3240,883;0;3979,27;0
121;3978,328;0;3322,028;0;3979,27;0
122;3980,244;0;3317,832;0;3980,244;0
123;3978,357;0;3015,773;0;3980,244;0
124;3980,884;0;3027,403;0;3980,884;0
125;3980,884;0;2983,921;0;3980,884;0
126;3980,889;0;3027,186;0;3980,889;0
127;3980,88;0;2945,725;0;3980,889;0
128;3986,271;0;2676,714;0;3986,271;0
129;3980,884;0;3297,242;0;3986,271;0
130;3984,893;0;3316,548;0;3986,271;0
131;3978,599;0;2750,634;0;3986,271;0
132;3980,88;0;2995,208;0;3986,271;0
133;3980,884;0;2931,551;0;3986,271;0
134;3980,884;0;2767,292;0;3986,271;0
135;3980,884;0;2974,499;0;3986,271;0
136;3981,364;0;3045,25;0;3986,271;0
137;4006,837;0;2749,4;0;4006,837;0
138;4003,632;0;2748,335;0;4006,837;0
139;4003,873;0;3343,547;0;4006,837;0
140;4003,631;0;2798,22;0;4006,837;0
141;4003,632;0;2788,271;0;4006,837;0
142;4003,632;0;3232,221;0;4006,837;0
143;4003,632;0;3093,875;0;4006,837;0
144;4003,631;0;3119,465;0;4006,837;0
145;4003,633;0;3150,378;0;4006,837;0
146;4003,632;0;3019,812;0;4006,837;0
147;4018,201;0;3209,763;0;4018,201;0
148;4018,199;0;2783,003;0;4018,201;0
149;4017,056;0;2850,525;0;4018,201;0
150;4017,056;0;2843,93;0;4018,201;0
151;4018,199;0;2945,445;0;4018,201;0
152;4011,721;0;2916,687;0;4018,201;0
153;4017,055;0;3154,652;0;4018,201;0
154;4017,056;0;3178,365;0;4018,201;0
155;4017,056;0;3020,426;0;4018,201;0
156;4018,199;0;3266,601;0;4018,201;0
157;4017,056;0;3345,232;0;4018,201;0
158;4017,057;0;2971,596;0;4018,201;0
159;4017,057;0;3006,486;0;4018,201;0
160;4018,2;0;2936,363;0;4018,201;0
161;4017,056;0;2963,598;0;4018,201;0
162;4017,057;0;3278,594;0;4018,201;0
163;4017,056;0;2832,759;0;4018,201;0
164;4018,199;0;2920,112;0;4018,201;0
165;4017,057;0;3207,722;0;4018,201;0
166;4017,056;0;3356,354;0;4018,201;0
167;4018,199;0;3185,792;0;4018,201;0
168;4018,199;0;3098,201;0;4018,201;0
169;4017,055;0;3390,341;0;4018,201;0
170;4017,056;0;3048,556;0;4018,201;0
171;4018,199;0;3280,384;0;4018,201;0
172;4018,199;0;2581,07;0;4018,201;0
173;4017,055;0;3203,675;0;4018,201;0
174;4017,057;0;3233,08;0;4018,201;0
175;4017,055;0;2923,59;0;4018,201;0
176;4018,199;0;3168,194;0;4018,201;0
177;4017,056;0;2911,893;0;4018,201;0
178;4017,056;0;3184,738;0;4018,201;0
179;4012,429;0;3060,085;0;4018,201;0
180;4018,199;0;3342,32;0;4018,201;0
181;3997,659;0;3468,663;0;4018,201;0
182;4017,057;0;3274,039;0;4018,201;0
183;4017,056;0;3193,799;0;4018,201;0
184;4018,199;0;3167,518;0;4018,201;0
185;4017,056;0;3162,023;0;4018,201;0
186;4017,763;0;3259,416;0;4018,201;0
187;4018,199;0;3174,188;0;4018,201;0
188;4018,199;0;2829,61;0;4018,201;0
189;4017,056;0;2768,924;0;4018,201;0
190;4017,056;0;3129,008;0;4018,201;0
191;4018,199;0;2823,06;0;4018,201;0
192;4018,199;0;2859,546;0;4018,201;0
193;4018,875;0;2943,161;0;4018,875;0
194;4018,876;0;3100,828;0;4018,876;0
195;4018,876;0;2822,113;0;4018,876;0
196;4017,586;0;2823,272;0;4018,876;0
197;4018,877;0;2891,373;0;4018,877;0
198;4018,876;0;2653,604;0;4018,877;0
199;4018,876;0;2889,4;0;4018,877;0
200;4018,876;0;2889,4;0;4018,877;0

